sample_definition,log_mstar_lo,log_mstar_hi,window_center,window_width,n,all_internal_marginal_r2,gas_mass_marginal_r2,dominant_internal_feature,dominant_candidate_feature,gas_mass_rank,gas_leave_one_out_r2_drop,gas_fraction_rank,sfr_rank
gas_particles_ge_100_and_log_sfr_gt_minus5,9.2,10.0,9.6,0.8000000000000007,3647,0.12870635292668886,0.06121480920093075,int_log_mgas,int_log_gas_fraction,1,0.0603054389939536,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.2,10.1,9.649999999999999,0.9000000000000004,3998,0.13439567136003736,0.06523293310292064,int_log_mgas,int_log_gas_fraction,1,0.05738756340880441,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.2,10.2,9.7,1.0,4294,0.13355153987390078,0.06276634544278062,int_log_mgas,int_log_gas_fraction,1,0.053786163542167725,1,6
gas_particles_ge_100_and_log_sfr_gt_minus5,9.2,10.3,9.75,1.1000000000000014,4539,0.13228983221028945,0.0599957263046999,int_log_mgas,int_log_gas_fraction,1,0.04852585382049268,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.2,10.4,9.8,1.200000000000001,4775,0.13295154207174953,0.060820824170695065,int_log_mgas,int_log_gas_fraction,1,0.04499728977794856,1,5
gas_particles_ge_100_and_log_sfr_gt_minus5,9.2,10.5,9.85,1.3000000000000007,5002,0.13256038477842624,0.058442287275108196,int_log_mgas,int_log_gas_fraction,1,0.03972008559196319,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.2,10.55,9.875,1.3500000000000014,5117,0.13101179369414478,0.05698116530360045,int_log_mgas,int_log_gas_fraction,1,0.037777332173853595,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.2,10.6,9.899999999999999,1.4000000000000004,5219,0.1341409630832207,0.05337205768019121,int_log_mgas,int_log_gas_fraction,1,0.03310922813467504,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.2,10.7,9.95,1.5,5345,0.13069171084283152,0.048165232782080736,int_log_mgas,int_log_gas_fraction,1,0.031591941582213734,1,3
gas_particles_ge_100_and_log_sfr_gt_minus5,9.3,9.8,9.55,0.5,2390,0.10981150048187238,0.06755270764497925,int_log_mgas,int_log_gas_fraction,1,0.06548805314844702,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.3,9.9,9.600000000000001,0.5999999999999996,2741,0.12412063789828595,0.07461108558993412,int_log_mgas,int_log_gas_fraction,1,0.0689470150593984,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.3,10.0,9.65,0.6999999999999993,3059,0.13055816115723118,0.07566289159157594,int_log_mgas,int_log_gas_fraction,1,0.06642851618971243,1,4
gas_particles_ge_100_and_log_sfr_gt_minus5,9.3,10.1,9.7,0.7999999999999989,3410,0.13648708053641018,0.07602387232619434,int_log_mgas,int_log_gas_fraction,1,0.061892663561531835,1,3
